title,author,new_author,genre,sub_genre,age_range,rating,publication_year,format,page_count,audio_length,word_count,start_date,end_date,days_to_read,publisher,imprint,author_gender,author_bipoc,tags,standalone,series_start,series_continued,series_finished,queer_characters,queer_rep,cry,review,arc,re_read,subscription,month_read,recommended_by,is_gifted,physical_own,acquired_from
The Dungeon Anarchist's Cookbook,Matt Dinniman,FALSE,Fantasy,,Adult,2,2021,e-book,534,,,12-Apr,18-Apr,7,Penguin Random House,Ace,Male,,,,,Series Continued,,No,,,,,,,April,,,TRUE,
Close to Death,Anthony Horowitz,FALSE,Mystery/Thriller,,Adult,2.5,2024,Paperback,432,,,21-Apr,25-Apr,5,HarperCollins,Harper Perennial,Male,,,,,Series Continued,,No,,,,,,,April,,,TRUE,
Between the World and Me,Ta-Nehisi Coates,TRUE,Non-Fiction,Memoir,Adult,4,2015,Audiobook,,3:35:00,,17-Apr,26-Apr,10,Penguin Random House,Random House Audio,Male,YES,,Standalone,,,,No,,,,,,,April,,,FALSE,
The Gate of the Feral Gods,Matt Dinniman,FALSE,Fantasy,,Adult,3.25,2021,"Hardcover, e-book",589,,,19-Apr,3-May,15,Penguin Random House,Ace,Male,,,,,Series Continued,,No,,,,,,,May,,,TRUE,
Now Is Not the Time to Panic,Kevin Wilson,FALSE,Fiction,,Adult,5,2022,"Paperback, Audiobook",246,6:12:00,,4-May,4-May,1,HarperCollins,Ecco,Male,,,Standalone,,,,No,,,,,,,May,,,TRUE,
The God of the Woods,Liz Moore,TRUE,Mystery/Thriller,,Adult,4,2024,"Hardcover, e-book",478,,,5-May,18-May,14,Penguin Random House,Riverhead Books,Female,,,Standalone,,,,Yes - Side,,,,,,,May,,,TRUE,
The Sentence is Death,Anthony Horowitz,FALSE,Mystery/Thriller,,Adult,3,2018,Audiobook,,8:36:00,,7-May,20-May,14,HarperCollins,Harper Audio,Male,,,,,Series Continued,,Yes - Side,,,,,,,May,,,TRUE,
Magic Kingdom for Sale--Sold!,Terry Brooks,FALSE,Fantasy,,Adult,4,1986,Paperback,384,,,18-May,24-May,7,Penguin Random House,Ballantine Books,Male,,,,Series Start,,,No,,,,,,,May,,,TRUE,
The Family Fang,Kevin Wilson,FALSE,Fiction,Speculative,Adult,4.25,2011,Paperback,314,,,24-May,26-May,3,HarperCollins,Ecco,Male,,,Standalone,,,,No,,,,,,,May,,,TRUE,
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,FALSE,Non-Fiction,,Adult,3.5,2023,Audiobook,,8:28:00,,20-May,1-Jun,13,Penguin Random House,Random House Audio,Male,,,Standalone,,,,No,,,,,,,June,,,TRUE,
"Love & Saffron: A Novel of Friendship, Food, and Love",Kim Fay,TRUE,Fiction,,Adult,4.5,2022,e-book,192,,,1-Jun,4-Jun,4,Penguin Random House,G. P. Putnam's Sons,Female,YES,,Standalone,,,,No,,,,,,,June,,,TRUE,
All Systems Red,Martha Wells,TRUE,Sci-Fi,,Adult,4.5,2017,Paperback,152,,,5-Jun,8-Jun,4,Macmillan,Tom Doherty Associates,Female,,,,Series Start,,,No,,,,,,,June,,,TRUE,
A House with Good Bones,T. Kingfisher,FALSE,Horror,,Adult,4.25,2023,Audiobook,,6:52:00,,1-Jun,9-Jun,9,Macmillan,Macmillan Audio,Female,,,Standalone,,,,No,,,,,,,June,,,TRUE,
Artificial Condition,Martha Wells,FALSE,Sci-Fi,,Adult,4.5,2018,Paperback,158,,,8-Jun,11-Jun,4,Macmillan,Tordotcom,Female,,,,,Series Continued,,Yes - Side,,,,,,,June,,,TRUE,
The Sequel,Jean Hanff Korelitz,FALSE,Mystery/Thriller,,Adult,3.25,2024,Audiobook,,10:18:00,,10-Jun,18-Jun,9,Macmillan,Macmillan Audio,Female,,,,,Series Continued,,No,,,,,,,June,,,FALSE,
The Fire Next Time,James Baldwin,FALSE,Non-Fiction,Memoir,Adult,3.5,1963,Paperback,106,,,11-Jun,19-Jun,9,Penguin Random House,Vintage,Male,YES,,Standalone,,,,Yes - Main,,,,,,,June,,,FALSE,Maggie & Sofia
Marrying the Ketchups,Jennifer Close,TRUE,Fiction,,Adult,4,2022,Paperback,320,,,20-Jun,21-Jun,2,Penguin Random House,Vintage,Female,,,Standalone,,,,Yes - Main,,,,,,,June,,,TRUE,
Bunny,Mona Awad,TRUE,Horror,Speculative,Adult,4,2019,Paperback,305,,,14-Jun,26-Jun,13,Penguin Random House,Penguin Books,Female,,,Standalone,,,,Yes - Main,,,,,,,June,,,TRUE,
Ella Minnow Pea,Mark Dunn,TRUE,Fiction,,Adult,4.5,2001,Paperback,208,,,27-Jun,29-Jun,3,Penguin Random House,Anchor Books,Male,,,Standalone,,,,No,,,,,,,June,,,TRUE,
The Past is Red,Catherynne M. Valente,TRUE,Sci-Fi,,Adult,5,2021,Hardcover,150,,,29-Jun,2-Jul,4,Macmillan,Tordotcom,Female,,,,,,,No,,,,,,,July,,,TRUE,
An American Marriage,Tayari Jones,TRUE,Fiction,,Adult,4.5,2018,Paperback,317,,,2-Jul,6-Jul,5,Hachette Book Group,Algonquin Books,Female,YES,,Standalone,,,,No,,,,,,,July,,,TRUE,
The House on Mango Street,Sandra Cisneros,TRUE,Fiction,Classics,Adult,3.25,1984,Paperback,110,,,6-Jul,8-Jul,3,Penguin Random House,Vintage,Female,YES,,Standalone,,,,Yes - Side,,,,,,,July,,,TRUE,
The Ballad of Perilous Graves,Alex Jennings,TRUE,Fantasy,,Young Adult,2,2022,Audiobook,,17:14:00,,21-Jun,10-Jul,20,Hachette Book Group,Hachette Audio,Male,YES,,Standalone,,,,Yes - Side,,,,,,,July,,,TRUE,
The Joy Luck Club,Amy Tan,TRUE,Fiction,,Adult,4.25,1989,Paperback,329,,,9-Jul,10-Jul,2,Penguin Random House,Penguin Group,Female,YES,,Standalone,,,,No,,,,,,,July,,,TRUE,
The Examiner,Janice Hallett,FALSE,Mystery/Thriller,,Adult,3,2024,Paperback,465,,,10-Jul,12-Jul,3,Independent,Viper,Female,,,Standalone,,,,No,,,,,,,July,,,TRUE,
Sun Damage,Sabine Durrant,TRUE,Mystery/Thriller,,Adult,4,2022,Paperback,400,,,12-Jul,15-Jul,4,HarperCollins,Harper Paperbacks,Female,,,Standalone,,,,No,,,,,,,July,,,TRUE,
The Butcher's Masquerade,Matt Dinniman,FALSE,Fantasy,,Adult,4,2022,e-book,726,,,15-Jul,19-Jul,5,Penguin Random House,Ace,Male,,,,,Series Continued,,No,,,,,,,July,,,TRUE,
Wool,Hugh Howey,TRUE,Sci-Fi,Dystopian,Adult,4.5,2012,Audiobook,,15:00:00,,13-Jul,22-Jul,10,Independent,Blackstone Publishing,Male,,,,Series Start,,,No,,,,,,,July,Sofia,,TRUE,
The Eye of the Bedlam Bride,Matt Dinniman,FALSE,Fantasy,,Adult,3,2023,"Hardcover, e-book",684,,,20-Jul,26-Jul,7,Penguin Random House,Ace,Male,,,,,Series Continued,,No,,,,,,,July,,,TRUE,
The Well of Ascension,Brandon Sanderson,FALSE,Fantasy,,Adult,3.5,2007,Paperback,792,,,27-Jul,30-Jul,4,Macmillan,Tor,Male,,,,,Series Continued,,No,,,,,,,July,,,TRUE,
Rogue Protocol,Martha Wells,FALSE,Sci-Fi,,Adult,3.5,2018,Paperback,158,,,30-Jul,31-Jul,2,Macmillan,Tordotcom,Female,,,,,Series Continued,,No,,,,,,,July,,,TRUE,
Exit Strategy,Martha Wells,FALSE,Sci-Fi,,Adult,4.25,2018,Paperback,172,,,1-Aug,2-Aug,2,Macmillan,Tordotcom,Female,,,,,Series Continued,,Yes - Side,,,,,,,August,,,TRUE,
Shift,Hugh Howey,FALSE,Sci-Fi,Dystopian,Adult,3.25,2013,Audiobook,,14:35:00,,24-Jul,3-Aug,11,Independent,Blackstone Publishing,Male,,,,,Series Continued,,No,,,,,,,August,Sofia,,TRUE,
Six of Crows,Leigh Bardugo,TRUE,Fantasy,,Young Adult,4,2015,Paperback,494,,,2-Aug,3-Aug,2,Hachette Book Group,Orion Childrens Books,Female,,,,Series Start,,,Yes - Main,,,,,,,August,,,TRUE,
Crooked Kingdom,Leigh Bardugo,FALSE,Fantasy,,Young Adult,3.5,2016,Paperback,546,,,4-Aug,7-Aug,4,Hachette Book Group,Orion Childrens Books,Female,,,,,,Series Finished,Yes - Main,,,,,,,August,,,TRUE,
Network Effect,Martha Wells,FALSE,Sci-Fi,,Adult,3.75,2020,"Paperback, Audiobook",350,12:47:00,,4-Aug,14-Aug,11,Macmillan,Tordotcom,Female,,,,,Series Continued,,Yes - Side,,,,,,,August,,,TRUE,
Project Hail Mary,Andy Weir,FALSE,Sci-Fi,,Adult,3.5,2021,Paperback,476,,,15-Aug,21-Aug,7,Penguin Random House,Ballantine Books,Male,,,Standalone,,,,No,,,,,,,August,,,TRUE,
The Hunting Wives,May Cobb,TRUE,Mystery/Thriller,,Adult,2,2021,Paperback,352,,,22-Aug,23-Aug,2,Penguin Random House,Berkley,Female,,,Standalone,,,,Yes - Main,,,,,,,August,,,TRUE,
Beach Read,Emily Henry,FALSE,Romance,,Adult,4.5,2020,Paperback,358,,,23-Aug,23-Aug,1,Penguin Random House,Berkley,Female,,,Standalone,,,,Yes - Side,,,,,,,August,,,TRUE,
Blood Over Bright Haven,M. L. Wang,FALSE,Fantasy,,Adult,4,2023,Paperback,429,,,24-Aug,26-Aug,3,Penguin Random House,Del Ray,Female,,,Standalone,,,,No,,,,,,,August,,,TRUE,
Dust,Hugh Howey,FALSE,Fantasy,Dystopian,Adult,3.5,2013,"Paperback, Audiobook",468,12:37:00,,17-Aug,28-Aug,12,HarperCollins,Brilliance Audio,Male,,,,,,Series Finished,No,,,,,,,August,Sofia,,TRUE,
The Compound,Aisling Rawle,TRUE,Fiction,Dystopian,Adult,4,2025,Hardcover,292,,,29-Aug,30-Aug,2,Penguin Random House,Random House,Female,,,Standalone,,,,Yes - Main,,,,,,,August,,,TRUE,
Pretend I'm Dead,Jen Beagin,TRUE,Fiction,,Adult,3.75,2015,Paperback,256,,,30-Aug,1-Sep,3,Simon & Schuster,Scribner,Female,,,Standalone,,,,Yes - Main,,,,,,,September,,,TRUE,
The Frugal Wizard's Handbook for Surviving Medieval England,Brandon Sanderson,FALSE,Fantasy,,Adult,3.75,2023,Paperback,377,,,1-Sep,2-Sep,2,Hachette Book Group,Gollancz,Male,,,Standalone,,,,No,,,,,,,September,Simone,,TRUE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,FALSE,
